"","gamma","swIndex","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","N11","N12","N13","N14","N15","N16","N17","N18","N19","N20","N21","N22"
"1",0,1.10669978906224,0.00447583876562761,0.00642468527346216,0.00817466362672051,0.00467159512133135,0.0100536482375523,0.0138112548737453,0.00197943032036547,0.00796130387635485,0.00849690871311474,0.00240830297646926,0.00344330221975096,0.021649245911736,0.00376124557458486,0.00987931126474067,0.0183953657058219,0.0134654494179029,0.0104820819412049,0.0196079020248267,0.0141803838759415,0.00843476143265129,0.0181088903166127,0.0118974918775126
"2",0.1,1.12371780768182,0.00447583876562761,0.00642468527346216,0.0130163762285394,0.00467159512133135,0.0100536482375523,0.0138112548737453,0.0153260100653544,0.00796130387635485,0.00849690871311474,0.00240830297646926,0.00344330221975096,0.021649245911736,0.0220296935959007,0.00987931126474067,0.0183953657058219,0.0134654494179029,0.0104820819412049,0.0196079020248267,0.0141803838759415,0.00843476143265129,0.0181088903166127,0.0118974918775126
"3",0.2,1.15579542465487,0.00447583876562761,0.00642468527346216,0.0130163762285394,0.0206980695570209,0.0100536482375523,0.0138112548737453,0.0153260100653544,0.00796130387635485,0.00849690871311474,0.00240830297646926,0.00344330221975096,0.021649245911736,0.0220296935959007,0.00987931126474067,0.0183953657058219,0.0134654494179029,0.0104820819412049,0.0196079020248267,0.0141803838759415,0.00843476143265129,0.0181088903166127,0.0118974918775126
"4",0.3,1.1571141484103,0.00447583876562761,0.00642468527346216,0.0130163762285394,0.0206980695570209,0.0100536482375523,0.0138112548737453,0.0153260100653544,0.0152690663914931,0.00849690871311474,0.00240830297646926,0.00344330221975096,0.021649245911736,0.0220296935959007,0.00987931126474067,0.0183953657058219,0.0134654494179029,0.0104820819412049,0.0196079020248267,0.0141803838759415,0.00843476143265129,0.0181088903166127,0.0118974918775126
"5",0.4,1.15844170652246,0.00447583876562761,0.00642468527346216,0.0130163762285394,0.0206980695570209,0.0100536482375523,0.0138112548737453,0.0153260100653544,0.0152690663914931,0.00849690871311474,0.00240830297646926,0.00344330221975096,0.021649245911736,0.0220296935959007,0.00987931126474067,0.0183953657058219,0.0134654494179029,0.0104820819412049,0.0196079020248267,0.0141803838759415,0.00843476143265129,0.0181088903166127,0.0118974918775126
"6",0.5,1.15655784513732,0.00447583876562761,0.00642468527346216,0.0130163762285394,0.0206980695570209,0.0100536482375523,0.0138112548737453,0.0153260100653544,0.0152690663914931,0.00849690871311474,0.00240830297646926,0.00344330221975096,0.021649245911736,0.0220296935959007,0.00987931126474067,0.0183953657058219,0.0134654494179029,0.0104820819412049,0.0196079020248267,0.0141803838759415,0.00843476143265129,0.0181088903166127,0.0118974918775126
"7",0.6,1.20166714282536,0.00447583876562761,0.00642468527346216,0.0130163762285394,0.0206980695570209,0.0100536482375523,0.0138112548737453,0.0153260100653544,0.0152690663914931,0.00849690871311474,0.00240830297646926,0.00344330221975096,0.021649245911736,0.0220296935959007,0.00987931126474067,0.0387204814871595,0.0134654494179029,0.0104820819412049,0.0196079020248267,0.0141803838759415,0.00843476143265129,0.0181088903166127,0.0118974918775126
"8",0.7,1.25584961777496,0.00447583876562761,0.0412983466217892,0.0130163762285394,0.0206980695570209,0.0100536482375523,0.0138112548737453,0.0153260100653544,0.0152690663914931,0.00849690871311474,0.00240830297646926,0.00344330221975096,0.021649245911736,0.0220296935959007,0.00987931126474067,0.0387204814871595,0.0134654494179029,0.0291670156324065,0.0196079020248267,0.0141803838759415,0.00843476143265129,0.0181088903166127,0.0118974918775126
"9",0.8,1.25697083265183,0.00447583876562761,0.0412983466217892,0.0130163762285394,0.0206980695570209,0.0100536482375523,0.0138112548737453,0.0153260100653544,0.0152690663914931,0.00849690871311474,0.00240830297646926,0.00344330221975096,0.021649245911736,0.0220296935959007,0.00987931126474067,0.0387204814871595,0.0134654494179029,0.0291670156324065,0.0196079020248267,0.0141803838759415,0.00843476143265129,0.0181088903166127,0.0118974918775126
"10",0.9,1.31339933230476,0.0124542872281902,0.0412983466217892,0.0130163762285394,0.0206980695570209,0.0100536482375523,0.0138112548737453,0.0468034202178558,0.0152690663914931,0.00849690871311474,0.0117106178414063,0.00344330221975096,0.021649245911736,0.0220296935959007,0.00987931126474067,0.0387204814871595,0.0134654494179029,0.0291670156324065,0.0196079020248267,0.0141803838759415,0.00843476143265129,0.0181088903166127,0.0118974918775126
"11",1,1.32075785518624,0.0124542872281902,0.0412983466217892,0.0130163762285394,0.0206980695570209,0.0100536482375523,0.0138112548737453,0.0468034202178558,0.0152690663914931,0.00849690871311474,0.0117106178414063,0.00344330221975096,0.021649245911736,0.0220296935959007,0.00987931126474067,0.0387204814871595,0.0134654494179029,0.0291670156324065,0.0196079020248267,0.0141803838759415,0.00843476143265129,0.0181088903166127,0.0118974918775126
