"Threshold","SmallWorldIndex","ConfLevel"
1.2,0.497448365975703,1
1.1,0.499035501493654,1
1,0.494719715170103,1
0.9,0.491082346819238,1
0.8,0.49452996347939,1
0.7,0.476747170207652,1
0.6,0.440469182216203,1
